LABEL,text
0,What if you all been blinded by your silly minds Imagine y2k How was it fixed Remember I do. They wrote code to move the dates around. So year 00 became 2000 and they did the fix as in 2020 will be the year that all old system should been changed. Oops if it ain't broken dont fix it. Did they forget So 2020 was y2k20 and that is why airplanes had to be grounded. Stick market had to be halted and big money transfers un banks had to be cut down. Now new mainframes had to be built and bought and installed. Humm now shortage in silicon Why well many big mainframes had to be changed. So cut the sales of the retailers. Oops. Did I spill the beans 
0,i still have my 3dfx Voodoo 3 i can upgrade too 
0,That moment when the GLORIOUS PC GAMING MASTER RACE will bring Halo to PC via the Switch Emulator 
0,SHOTS FIRED SHOTS FIRED. Dayum Bungie got sniped.
0,Yo Loved the new host 
1,A card you can actually buy in 2021
0,Notice how the video got 2 minutes longer than usual
0,Where the fuck is our middle part
0,Do you think will be stocks in December for the ps5 I really want to buy one
0,here before they fixed the messed up title
0,I love how all Donald Trump tweets has link on them to the correct information because he chats so much poo. I agree cats suck
1,8K for what the 1% of people that have an 85 TV And at what graphics settings equivalent 
0,That tash makes him look like the guy from 'Her' that dates his computer
0,4:00 I guess console players has mixed opinions about that lul
1,Just bought a brand new RTX 2070 if these are announced this does piss me off been saving for months to get an RTX card and then I buy one only to have a potential price cut leaked
0,mustache or caterpillar slave 
0,Microsoft: we're adding more CPUs to the compatibility list Everyone: yay Microsoft: ADDS ONE PSYCH BITCHES MWHAHAHAHA
0,It is like 07.00 AM in my country. I couldnt sleep so I waited for this. and some other videos on youtube 
0,That hair swap at 2:59
0,She's lost a tonne of weight
0,Wow. Linus is back with his pre Covid looks.
0,It's not tesla's fault people are generally stupid and majority is ignorant. Trust me you'd be surprised that the average person's level of intellect is depressingly low. Also humans are surprisingly shitty drivers. I mean majority suck at driving. I'm talking about 70 to 80% here.
0,I'd rather have Sara Butts. Yes.Madison is already comfy in front of the camera but she's annoying and tries too hard.
0,When your gpu has higher clock than your cpu
0,Riley is back yes yes miss u alot brother
0,How hilarious would it be if everyone on youtube bought a ticket to LTX and just lined up to meet Riley shake his hand get his autograph then ignored the rest of the LTT crew. Except Dennis hes awesome give him some love 
0,man how are you consistently so funny 
1,I look forward to AMDs new GPUs that will likely offer 1070ti level of performance for 1080 level price and 2080ti level of power draw.
0,Anthony and Madison together. NOW.
0,She did it. maybe we do have a chance.
0,wow nice clickbait guys i totally fell for it lul
0,Love the uploads Keep up the GREAT work 
0,Yep in Jern we believe. Toilet squad is here 
0,How long has big oof been working there 
0,Promises info on new xbox delivers mostly info on other products 
0,WD marketing drives me crazy
0,Why am I the only person that likes the new Star Wars movies.
0,I replied with the VooDoo 5 9000 YouTube video on that 3dfx page.
0,i wAsking a comment and it was funny but it got deleted and then it felt like too much work
0,God I love Riley best tech news shows since Netlinked 
0,You know it's gonna be a good tech linked when Linus goes dragon ball on us 5 seconds in
0,I Love you too Riley Murdock 
1,Fam Just FINALLY got my hands on a 3090 and it's already outdated 
0,VR Drones Make a Drone gaming PC for then
0,Riley's fucking dead and James killed him 
0,Maybe the Graphcore can playback the 12K raw files from the new Blackmagic 12K Camera 
1,amd loves us and we love amd
0,I still love how riley keeps reacting to the host in the background. It just feels even more genuine.
0,Please don't 'switch' to tik tok
0,who in the techworld is dis person
0,Me watching because Tech News Me stays for Star Wars rant
0,Whats wrong with Satan Lololol
1, You'll need a rtx 2060 or better to check it out Me: Laughs in gtx 780 
0,Looks like your going bald
0,Xbox Scarlett sounds like the most retarded idea ever
0,Please more we want more 
0,Damnit Riley no No Macs Linux or windows We don't do fruits here :P
0,Some parents hate gaming Others buy a tutor for only 20 a hour
0,The reflection of the green screen is easily visible on my man's face. Hard to ignore
0,God damnit it it would be nice if people would stop whining about how trumps gunna abuse this new nationwide alert thing. They passed a law banning the system being used like that. In 2015
0,Following on from GN's very negative response to their budget PSU failures that Newegg are shitting out to customers it's not been a good start of the week for Gigabyte huh 
0,5:08 Natasha Bedingfield Take me away for those who want the full version lol
0,No wonder YouTube algorithm suggested that Rig Reboot video. She brings fire Go M.Dawg We stll waiting on that rap album
0,It not the only one available in the form factor I would really enjoy a comparison between the GT 1010 and the very last gen 1050ti LP low profile edition 
0,Doesn't like The Mandalorian GTFO
1,Expecting Intel to hit it out of the park on their first consumer discrete video card is silly. The same expectation wasn't put on Nvidia or ATI AMD back in the day when they were competing with 3DFX.
0,No Pre orders and almost all sold out on Newegg.
0,GeForce Now was just too good and the publishers took notice. Greedy on their part in my opinion.
0,Nuggets are Aready Fake Chicken how can they make them LESS REAL Cow}: o 
0,FIRST To a channel this big 
0,Have been reloading the page every 5 minutes
0,It's happening bois it's taking the channels one by one xD
0,I see that people seem to be getting ads with Linus in those ads. But I haven't seen a single ad since 2014 because I have YouTube Premium U U And now I'm wondering what kind of ads I have been missing. Wait. I'm in Mexico I don't think a Linus and would be showed to me.
0,Ironically I watched the last tech linked video earlier today.
1,I swore this was called Amd is on a roll before this title
1, If you can't buy a graphics card. well here's an APU you also can't buy right now F logic.
0,Yeeaaah CD rom oh wait.
0,Which is your wrist watch brand Linus 
0,Well done Apple. You played yourself. #AppleDiedWithSteve
0,X gunna give it to ya
0,Ah yes mech arena. Just another cash grab like war robots.
0,Tell everyone on what happened to steam with people getting hacked with a link going around.
0,Amazon fr does need a union or a hard kick to the nuts
0,Glorious Ireland and broland 
0,A review is just a collection of opinions
0,Im just waiting to catch James wearing his Tool army shirt again.
0,We are doing an Intervention for google's data problem
0,this kid is annoying as hell. she really needs a dose of true life to whack her head on. life isn't this oh my God sucha fun and great time 
0,I was unsure of this new lady but then she demanded I watch the whole video and then murdered Riley to make an example so she can stay.
0,Ok so I've had the Commuter 2 for about 5 months now.best portable speaker ever. Buy it. The stereo effect after splitting is fantastic with great bass mids and highs. Sit on a cliff lay in a hammock draw under a tree take a timelapse.all in stereo bliss without headphones. Oh.and when you go kayaking with your girlfriend Split that shit and put your phone in mono audio mode now you have TWO speakers perfectly in sync on each kayak 
1,Its okay Nvidia AMD just shelled out 12.1M dollars for a settlement
1,Did AMD just Intel us 
0,Doesn't include iPhones because apple isn't supporting VP9 which would make 0 sense to do for apple.
0,Bro that hand gesture was racist.
0,isn't she the pigeon girl 
0,AT&T to governments: It's my way or the Huawei 
0,Riley is the Carl Azuz of tech news
0,That laugh. Riley You could be Penguin in next Batman movie.
0,3:42 But I only spent 85.
0,nobody: jake: ^.^ all love
1,Wow. That's a lot of money you have invested in some pretty powerful equipment. You must develop some amazing stuff. Nope just gaming . Oh. Like games that help you code for the government or CAD up specs for new electric cars . Nope. Just games where I shoot aliens after I finish my double shift at TMobile. I just put it all on my credit card . Mother of god we're doomed
0,Me: just woke up Linus: Get some rest you look tired Me: Damn Linus you right
0,lets hope the meds to cure them won't be too expensive
0,Foldable PC so it will be one of the few laptops with an oled screen. Interesting.
0,Oculus is useless if it requires Facebook
1,I'll no longer be a gamer by the time the next GPUs come out.
0,Intel needs to pull more than a rabbit out a hat to get my attention.
0,Is it me or does Alex have more of a student reading off the board really slowly vibe compared to James or Riley 
0,What is it with all those idiotic Epic exclusives Ah well more money saved.
0,I wonder when consoles will just become brand name PC's
0,So they invented Microwave rifles now you can't only nuke your burrito you can nuke up your neighbor too 
0,You always had the Option to make Minecraft look that good with the help of shaders and texture packs
0,Ya Robots Can't Screw thats what Human Do
0,This seems to be an adfest getting out of control Linus
0,THE BEST TECH NEWS CHANNEL 
0,The GT 1010. a solution in search of a problem.
0,There was a hands on of the xCloud at E3 so it's wrong to say they didn't give it much attention.
0,Haha watch Apple buy a majority stake in ARM.
0,Honestly I watch every video with Anthony in it just because I love that guy.
0,it's gif Linus. hard G.
0,Jif is peanut butter gif is an image format.
0,Maybe compare the surface go to the surface 3. As a studying tool the surface 3 works well for me. I wonder how the newer go compares.
0,LOOOOOOOOOOOOOOOOOOL Thats true manly man things
0,James I sincerely hope you never have kids
0,There is a reason we all like steam all other launchers are AWEFUL I reinstalled my pc and steam just magically finds my games on my 2nd SSD but if my 2nd SSD is full epic and other launchers demand the full size of the game to be present before it rediscovers files
0,Oh Riley you so funny.
0,The human eye can only see one Linus.
1,The AMD news here is just click bait. All other news sites are showing how that came out from an Intel funded research. Something you never talked about.
0,Give this lady a job please.
0,Haha RGB fan on the top goes vroom
0,First comment. This is going on my rsum.tech linked getting people off the streets 
0,Czechia And Slovakia We still exist 
0,this is why i have adblock : 
0,I feel like they're not really going to solve anything by bringing back old chips
0,Sports I love those American Football jokes. You all have no idea you steal Rugby change half the rules rename it football without realising they hardly use their feet 
0,1:30 um actually it's JIF 
1,If intel get tsmc to agree to give them some of amds spaces put money on AMD having a fab within 3 years.
0, Ok Google . Don't spy me. hmm. 
0,I had my volume real loud and almost pooped from Anthony's intro
0,Right time for an Rasberry Pi on my network acting as an adblocker. YouTube has gotten well out of control with their ads.
0,Can you guys make a pannini review
0,This video made me a subscriber. It's got just the right energy
0,wait so there making an actual tv for apple tv 
0,Remaster Arma 3 it only runs at 10 fps anyways 
0,im the 1337th like. N O I C E
0,Best TechLinked ever in my book.
0,Im just here to eat some quick bites and say hi 
0,Hay I use 3 ply Organic toylet paper 
0,Can I be the leader of the Hype Squad 
0,i know everyone likes it but i think theres waaaay too much effing around. too much playing to the camera. also this reminds me of exactly what Lindsay Elliss recent video was about.
0,KNOCK KNOCK Who's there Nobody that's my PC PSU fan dieing.
0,Microsoft understands that the future is gaming as a service and not about selling black boxes that people can put next to their TVs. We'll see how long they keep making Xbox but if their game streaming gets really good that could completely change how the average person consume games. Having used their enterprise products though I'm not impressed by their cloud infrastructure Excel Online is slow as hell.
0,Taco Tuesday Im enjoying TechLinked Tuesday 
0,S on intel during last couple videos and then gets sponsored by them anyway lol
0,But if alphabet buy out rare.
1,I'm not first buuuuuut that 3060 looooks gooooooood
1,1:00 he compared the rx6800xt to the 2080TI not the 3080
0,Havent seen Taran for a long time . My god he looks way different
0,is today Wednesday I must have missed some time calculations.
1,Im impressed at how the radeon software autodetected and autoenabled freesync on my rx5700xt pc. I refuse to overpay for nvidia sync so my gtx 1080 system will learn to use freesync or do without
0,And for more Quickety Quacks: Blizzard has delayed the next World of Warcraft expansion named Shadowlands indefinitely but apparently it'll be out by the end of the year .
0,Only Jesus can save you 
1,Donald Trump is better than Biden. Intel is better than Amd. Nvidia is better than amd.
0,LTTtrash.com redirects already. James did you force them to buy another .COM 
1,Thats crazy how you can pay 100k for the graphics cards to mine and recoup from mining within the year and prolly sell the cards at a relatively small discount. Essentially doubling your money.
0,Where were you when you realized this was just a dad joke news show 
0,ANTHONY ANTHONY ANTHONY ANTHONY ANTHONY ANTHONY
1,Linus can I get a free gtx lel
0,Tech linked did his part 
1,Amd: Eternally Dabs from the high ground Intel: Lying in the fetal position crying and hearing non stop Boss music 
0,who left the blue blinking light on 
0,Why the hell are we getting google news in Argentina 
0,HP buys HyperX . well there goes quality and hi all driver issues.
0,i had this idea when the one s released put everything in cloud cpu gpu ram storage and buy it or rent it or do a emi
1,Nvidia never gives up. It's all part of their plan
0,LeTs LoGiN oN iNcOGnItO I cAnT bE tRaCkEd RigHt. I'm pretty sure that's common sense but maybe that's just me who knows.
1,Does this maybe mean anything for apple computers too If they potentially let eGPUs work on M1 
0,At least the hackers left up the emergency services. Big improvement on shutting down 911 like a bunch of murderous idiots
0,Love colten. Plz give more of him
0,I see. You are a CMDR of culture.
0,Try intel hd grafics that's performance
1,What nvidia needs to make right now is more gpus its like ignoring the crisys and comes up with new shit like nothing is happening
0,I FREAKING LOVE YOU ANTHONY 
0,Im am utterly offended by the incorrect db reference.
0,That intro was pure epic. Your guys are so funny.
0,me to my gt 710: i'm sorry little one 
0,Gigabyte could offer them some power supplies.
0,AIOs still have not figured out they have to measure the water temperature 
0,Apple going back to arm has to purely to stop hackintosh. When they were arm only before apple had total control over there hardware and software so when they swapped to intel they lost that ability
0,Whooo Can't wait for looking at ads that I paid a subscription for. Hurrah to Netflix 
0,Highlights in this video: Madisons style and Rileys Aussie accent from an Aussie 
0,its manbearpig dont u watch southpark :D
0, 500 for Apple Glasses is quite a good price it might seem expensive but normal frames already can cost half that much without being anything special.
0,Zen 2 is good but for gaming Intel is simply better. Emulation too. This is a fact. Coffee Lake at 5 GHz or more simply beats Zen 2 in pretty much all games especially when CPU bound as in high fps . Sadly Ryzen still does not support nested virturlization which sucks for people using homelabs etc.
0, Microsoft is finally getting into the vr market Windows mixed Reality exists you guys did a video on it.
0,Can someone compare the Xbox specs to pc specs 
1,10:14 Caught you guys You are getting paid by Nvidia aren't you 
0,Linus' name for the.segment after the ads has basically turned into a snappier version of Paul Miller's segment on the Vergecast.
1,AMD Nvidia in mining 
0,Such a disappointment I'll reconsider next time before buying AMD. Now I truly wish I bought Intel back in 2017 especially since a 7700K with liquid metal is still comparable to current high end RYZEN parts in gaming . Motherboard vendors can just remove support for older CPU's in the BIOS to free up space they removed Bristol Ridge support to provide Zen2 support on my X370 motherboard . They also provided PCIe gen4 support until AMD took that away. So they supported 3 generations now which is only one more than Intel often does. Big f cking deal. At least with Intel you know it won't have very long upgradeability so you don't expect it.
0,My Name is Taran van hermit would u like to know about my keyboard shortcuts
0,Oh my god Riley doing a surferbro voice is actually hilarious
0,what the fuck is the switch then
0,YouTube is all about Ads Your videos are just the host the Ads will attach to and eventually will suck all the goodness out
0,Lol He still doesn't get it Linus tech tips do Try watching the PS5 tech video. PS5 master race Insert evil laughing 
0,Jesus Christ Madison. Holy fuck. The aggression was unexpected but welcome. Is that camera okay though 
0,Robots LOVE Metal \ lol
0,Madison is a natural. She deserves this job for good.
0,Google doesn't take anything seriously.
1,0:47 30 45 fps 1080p this is defenitely not for gaming market. But at a competitive price it could be enough for less requiring users
0,WHY DOES EVERYONE AT LTT ALL ACT LIKE THEY SLOB ON KNOB FOR A LIVING 
0,Bible say do good and run from bad.
0,I think Intel made it all up so they can sell us the new cores that don't have any security issues because their lazy and can't figure out how to make the cores faster and cheeper.
0,linus with a beard is making me uncomfortable
0,tiktok getting banned YES PLEASE
1,Someone didn't check their research. The card crashes can be fixed with a software update. The cards clock speeds need to be reduced sadly because those cards used cheaper capacitors. If your going to spend the money anyways get the higher end models. Or just do the research post launch.
1,3090 super: Don't you guys have fusion reactors 
0,Google is in hot water Also Google: so this is our new Pixel
0,The new presenter is awesome she nails the humour spot on 
0,Glad I don't need the app store to get apps.
0,Is there any real evidence of Huawei hacking I think not otherwise it would be declassified and put in every single news platform around the world. As to the Apple battery thing I hope Apple gets sued over that nonsense and fined billions.
0,Microsoft needs to drop their data collection schemes. Then a lot of users would switch back.
0,I felt personnaly attacked in the first 10 seconds. lul
0,YES DRAGON BALL REFERENCE 
0,Disliking for the sponsor spot
0, The Emergency Economic Stabilization Act of 2008 created the 700 billion Troubled Asset Relief Program to purchase toxic assets from banks. Wasn't China tho. :D
0,Me: plays game on 720P low settings
0,LMFAO with that Toronto accent joke 
0,Thanks For Hiring Her Linus Shes A Great Personality And Suits Very Well To Your Media Group.
0,Tech giants like google are spying on us. Bunch of left wing activists
0,3:20 I'm Korean but not in South Korea now. : 
0,Skies of Arcadia raytracing 
0,The only good scalper is a dead scalper. One shot one kill for each scalper.
0,Wow getting everyone to buy in to a Ponzi scheme must be really great for revitalising the El Salvador economy
0,My ear drums got annihilated in the intro
0,The storing crysis 3 part reminds me of using my AGP Radeon 9000 with 128MB RAM as swap partition in linux ; A nice cheap way of getting some additional fast RAM when the system was so old it was turned into a server. HDD swapping was just. horrible back then
0,will my b450 motherboard miss some features on the ryzen 5 
0,MAZ DUH. God damnit its MA ZDUH
0,Alchemy: the science of understanding deconstructing and reconstructing matter. However it is not an all powerful art. It is impossible to create something out of nothing. If one wishes to obtain something something of equal value must be given. This is the law of equivalent exchange; the basis of all alchemy. In accordance to this law there is a taboo among alchemists. Human transmutation is strictly forbidden. For what could equal the value of a human soul 
0,Wtf is up with the saturation
0,You really too to understand hydrogen powered electric vehicles C'mon Linus.
0,People getting stabbed for playstations out there Wow it's like 2006 all over again. I saw this coming from a mile away. History tends to repeat itself.
0,warframe is destiny except unlike destiny they hired game developers and not marketers disguised as game developers
0,Am i the only one that caught the number of comments at 00:10 
0,Speaking as a flat earther I can safely say that this is not a technology that will see the light of day and you can take my word for it. I also find it funny that proponents of the globe earth theory will never actually take the time to look into the evidence for themselves. All you do is watch a hit piece on the discovery channel or an interview from some astro not at NASA and claim to be an expert on the subject. I have no problem with people mocking the flat earth theory because it will just make you look that much dumber when the truth is revealed. The truth is most of you instinctively know that the earth is flat yet you'll never be willing to accept the truth because you're either hardened atheists or obsessed with science fiction Star Wars video games etc . Feel free to be ignorant but the truth is out there for anyone who is willing to research the subject with an open mind. Stop bowing down to the idols of this fallen world.
0, hey so we want their data how do we get it convince them we're doing it to fight pedos they'll call us noble 
0,it's fine just use Twitter less lol. was that not the pt haha
0,I love how Taran is too tall for the set he breaks the framing they had in mind with all the others standing on soapboxes
0,Never thought in a million years Madison would end up on the team when I was watching the ROG rig reboot with her in it. That was her right 
1,NVIDIA SHOULD DO A GIVEAWAY INSTEAD
0,5:56 Are u implying my house cactus does NOT like being shamed been going about this all wrong
0,No panini no Paganini no Pagani. Why am I here 
0,Dont know if ill come back to the next episode when ppl say jiff . Feels a lot like fake news
0,can someone tell me if i can get halo reach for free on pc if i own it on xbox 
0,if globalfoundries wins I'm fucking done because they can become a fucking conglomerate and just charge whatever they want
0,Can we talk about 5D storage disk and what the hell it is Fake or real 
1,Me: Bought MSI B450M Pro VDH MAX . Thinking Hey it's the max version better pay an extra for the MAX. There's no chances Ryzen 4k won't find on it Right AMD: Nope.
0,Boston dynamics is really a skynet of this world lawl There is just sometime left Before robots start saying to punish and enslave to human race .
0,Madison needs to do more Techlink videos that is all
0,got cat hair on your shirt .
0,Sickest intro ever let me preorder the vinyl son 
0,just because the amd processor is more powerful doesn't mean the trade is worthy. the 8086 will be worth far far more money in the future and is likely the main reason many people even want it. amd probably just wants to get their hands on a bunch of them for themselves.
0,Madison is pog We need more 
0,0:16 is 'Get Amped Up' a pun 
1,So the shortage is nvidia's fault for not planning for the two sections of there users How is it the miners fault if nvidia knew that this was going to be the case 
0,Hey I was just going to sleep 
0,Bruh your hair is thinner than my pubes. Them few strands aint Luscious at all. Get some help get a keeps sponsorship. 
0,I am totally on board with the Pokemon walking guide
0,I always like the video even before watching it.
0,The reason why i love so much tech news : the news Nop the cast
1,oops AMD is taking over
0,man and I can just click too buttons for an zoom call
0,Bleeeeeeegh nobody actually wants to code in AMP
0,I can't buy Intel but I can buy Intel CPU 
0,Fuck he was right. Im at work and just started the video to listen to while setting up some work orders lol.
0,when i see anthony i think the fat guy who actually know things
0,I switched to Opera GX you damn nons.
0,Linus does have a good point about google.
0,When did profit sharing become part of human rights 15 hour is a lot for unskilled labor comparing stuff like fines and bonuses to a company's revenue to make it look small is a cheap argument that takes the convenient way out of more complicated issues.
1,So like. will the 1080's price go down 
0, I don't like that sounded like japanese animated porn.
0,There is a movie membership here in Mexico
0,Maybe dont post during the raptors game lots of people are watching the game but i respect the hustle 
0,Wait Ryuk program Like Death Note Ryuk 
0,We want more anthony even on linus tech tips
0,Quick Linus isnt in the office lets have some fun
0,I was listening to this from my pocket and I pulled my phone out to start the next video and it was at the exact moment Anthony pointed and said he didn't love me; damn man.
0,Man to see the look on Zuccs face when he first heard about the iOS update would be priceless.
0,I skip the ads when this guy hosts the videos.
0,Who need Linus when you have Anthony
0,Rip Im going to big navi
0,Enough about phones already I want PC tech news Not f cking phones 
0,We all know you clicked on the video because of her face on the thumbnail. #LegendIsBack
0,Wait what Apple made a vague statement that doesn't make any sense and is half false because of the vagueness How could Apple ever do that 
0,No Trump and his team said they were sending overseers home claiming counting was done then continued to count the ballots. Also the are trying to count late votes which has NEVER been accepted before.
0,Brought to you by Raid: Shadow Legends WHY
0,Ya'll making fun of Bannerlord.no butter for you 
0,I don't even have a joke for this. Just please keep doing this type of content
0,pirate for life so I never worry about these Now & other cheap play variants
1,Rogame : yeah just seen this from the Intel slide deck adoredtv leaked out check out this bit. Everyone : apart from videocardz Rogame leaked big Intel oopsie 
0,Riley gang get the out of here this is Anthony gang
0,Love that you've been working so hard Anthony it's really appreciated. Your expertise trustworthyness sense of humour eloquence they're all A .
0,Did you just take a shot at Hardware Unboxed at the end because of their merch D:
0,I had noticed Amazon marked a knock off import of a made in usa product as the Amazon Choice product then you look at the critical reviews and see it isn't the original dimensions which negatively impacts function and they didn't smooth the edges still has a mysterious 4.5 star ratio . Just sucks seeing the shit product out selling the OG for the same price or half price depending on your pov.
0,Facebook wants me to pay them so they can take my data. Sounds like a business masterplan. Oh hey there do you wanna get robbed For only the low low price of 299 a month we'll send one of our many skilled professionals to your house and take all your stuff on a regular basis. For an extra monthly fee of only 59.99 you can also get our price winning Mugged bonus package which entitles you to one random mugging every month as well 
0,Oppo already has a phone with the camera like that samsung one
0,More like today in Europe
0,Bid bombing. Brilliant. Vigilante justice is back.
0,If the baseline for games isn't 4K 60fps then it's still kinda worthless.
0,Beautifull smart funny interesting PLEASE make her your presenter by default i really hope to see her presenting this and the other episodes from now don't take me wrong the other guys also were good but they can not compete with her besides she much more beautiful and cute
0,The time for Tech news keeps on getting later and later
0,Why the notification just came
1,Damn I knew Intel was stagnant but not to the point of throwing an entire press conference just to state that AMD delays high loads to preserve battery life.
1,So you're saying Nvidia was 'super'. disappointing 
0,Im glad I got my series 6 Apple Watch If thats true. I hate the flat edges of the iPhone 12
0,In all honesty music labels should have absolutely no right to go after copyright claims. They've been ruining the internet ever since they screwed over napster.
0,damn I was hoping they would go with 11hundred sounds better tbh.
0,Ltttrash.com redirects to lttstore.com lol.
0,Madison should just be hired by Linus she'd fit right in.
0,Google are going to find things interesting once the EU gets involved. They love fucking companies over for privacy violations like that.
0,It's MYAN MAR not MY Anmar
0,What do you mean a streaming console Like a steam link or something 
0,Techlinked has so many diverse characters I mean hosts from other countries.
0,Are games gonna be even more hard drive heavy 
1,First graphics card on Techpowerup site that make a Geforce 210 0% in Relative Performance tab :O
0,Hey Linus something is off with the sound in your last videos My subs are buzzing like crazy on your vids 
0,That 5ghz boost on all 8 goes down to 4.7 4.8 during AVX or AVX2 so it's not even special.
0,Not quick enough 2xing it.
1,Please tell us if the new 3900xt will work with the x370 series .e.g I own a first gen x370 gaming 4 in stock Maltese is compatible just but I really would like to know if we can get the final chip without having to change the board
0,Which tech news I don't care as long as Riley is doing it.
0,While I'm not thrilled they said 2020 and delivered. People assumed that meant Zen 3 it was actually Ryzen 3 zen 2. We got decent support.
0,4:45 Like your mother : 
0,Huawei actually has backdoors in their equipment.
0,Can it do 8k and 120fps Maybe. At the same time No way.
0,You guys should check out the article by Matt Gray on how echo ads are designed not to trigger their own products
0,3:51 that dudes teeth WTF
