LABEL,text
0,6:00 to 6:11   1.  Ride motorbike 2.  Edit videos 3.  Game 4.  Watch LMG content 5.  cook 6.  Read books like 1984 and Witcher books 7.  jam old schooL REAL metal be it just listening or on guitar or both 8.  Finish copying my over 9 terabytes of movies collection to my new 16TB toshiba x300 hdd 9.  Given paco the penguin some squooshes ( Level1Techs L1 stress penguin btw) 10. Watch some Quentin Tarantino Movies.    xD
0,Lol I just saw Linus in the pulse way ad
0,Love the Finnegan Speed and Marine shirt :)
1,"Still vibing with a gtx 1080, playing vr, and pancake games at decent framerates. The life."
0,Eat some vegetables bro jeez
1,"Btw the timestamp at 0:13 says ""rts 2060"", not rtx 2060   *It raised my hopes of a new release of gpus"
1,Is the new 2060 transistors going to be smaller?
0,"Yanno, everyone makes fun of chrome's thirst for RAM, but i had far more issue with firefox than i ever did with chrome."
0,God I love Firefox
0,"More Jake and David , pls !!!!!!"
1,I hope I can maybe get this rtx at a reasonable price or else probs just gonna hope for the best with intel
0,Does anyone still believe a word MS said? Windows 10 is the last ...................................... Cool story dude
0,One hundred and Sixty one-st!!!
0,2:12 to 2:30.  This makes me wonder ( for those who multi task this much) if while you're gaming and you wanted to export a video file using openshot or another video editor..IF Microshit Winbloat 11 will cause problems with that exporting of video..such as putting that program to  sleep' and it crashes or fails to export a WORKING output video file.    Neither result would surprise me.
0,"Okay, either I need to go back to a lower resolution monitor or the host need to wear a clean shirt."
1,"TECHLINKED: Nvidia, we don't want this! NVIDEA: You'll get it anyways"
0,I think I picked the worst time to build my first pc
0,Fun Fact: A Square is a Rectangle..... *Mind Blown*
0,Squares are rectangles dude...
0,edge is really not that bad .. at least I still have the chromium tab mute by default :)
0,MORE JAKE!
0,the in new iphone storage is as big a  my computer storage!
1,"The last time I was this early, GPUs were still in stock"
0,I want my headphone jack!
0,I use Edge so I can get $75 a year in Walmart gift cards from Microsoft rewards.
0,"Mustaches are becoming contagious on this channel. You all need to quit, Mustaches are the main way to find sexual predators. You are helping them blend in."
0,joke@5:10 was disgustingly ignorant
0,thumbs down for jake
1,Speak for yourselves I have a gtx 1060 still. If I can actually get a hold of this card I'll be happy with it.
1,why 2060? why not make more 3060
0,LMG's bears are just so adorkable. #chonkyangels
1,It will literally sell no matter we want it or not. Nviida re-releasing GT 1030 with 8 GB VRAM will not come as a surprise to this point.
0,"Nope, still don't like Jake even if he's fatter."
0,color grading of the A roll looks a bit funky on this episode?
0,They should have done that in the first place.
0,"1tb of space on the iphone, and it'll still remind you after a week of ownership to buy icloud storage because its full."
0,IF out of stock was a year: 2021      hopefully not 2022
1,"No nvidia, dont give me hope, Rtx 2060 6gb is sold 600usd in our country now, waiting for 800usd rtx 206012gb lol"
0,I love Spain
1,Bringing back 2060 is a story from Feb. Now we're just adding extra 6gb to the story lol
0, 
0,The forbidden love child of Anthony and Reilly?!? ...JK
1,"wasn't just litecoin that spiked, most major cryptos had a near identically timed spike and drop. I've seen the exact same thing happen a LOT, like a dozen crypto all spike and drop within seconds of each other. Seems pretty obvious some large crypto holders (like investment firm size) do a lot of market manipulation to pump n dump on a regular basis, because they got to get their profits in before their actions eventually force crypto to be regulated by governments."
0,Love to see you Jackie boy!!!
0,I think Jake secertly wants to be Riley....
0,HA
0,"And foreground prioritization caused no problems for any use cases or applications for anyone, anywhere, the end.    At least it's only an option."
0,Next time get a clean T shirt <3
0,I use Edge  its better than chrome lmao
0,Everything is too expensive and it's painful.
0,Don't use edge use Linux
1,"Just letting us play games on p106-100 like cards would help. But oh no! Nvidia is like fuck gamers, gimme that cash. Just imagine how shitty they are acting."
0,tell the lard to put on a clean shirt. fuck.
0,I am so glad that I have the best MSI 2070 Super. :o
1,The 2060 is the Skyrim and GTA of the hardware world
0,"2:59 Poor guy, he looks like he's about to commit suicide. Please let him speak."
0,"i use edge. i watched this video in edge. honestly, since it started using chromium it isn't that bad"
0,"Ah yes, a terabyte of storage for  ...now let's see here  10 times cost of manufacturing at minimum  Good job apple, keeping up the scalping"
0,Thats too much RAM. Could result in a RAM emergency.
0,But really the new Microsoft edge with chromium is pretty fantastic especially in the workplace.
0,"""Life is pain, I hate-"""
0,Every time I see one of Linus thumbnails I imagine him making that face in bed and I laugh for several minutes
0,"Tech news, my favorite"
1,"Ain't gonna lie, I'd buy a re-released Zotac 1080ti Mini "
1,Id love a $700 2060
0,Riley has changed
0,"Jake: ""Come with me and let's go have pain"" If it draws blood, it's hardware."
0,I use Edge. I like it except it wants to open my PDF files all the time.
0,Cant wait for windows 11 honestly... IDK why tho cuz I cant get it
0,He is a great actor XDDD love him
0,"I just bought a new monitor, can I order a video with dark mode?"
0,I guess it's time for rule 34 of tesla robot feeding you a popsicle. THANKS ALOT GUYS!
0,"i want ms to allow us install edge legacy again,"
0,Microsoft Edge For Windows 10 Best Browser For Windows 10 Operating System Optimized For Windows 10 Microsoft Edge Browser
0,Jesus Jake.
1,"Don't want a 2060 lol, i want the 20gb 3080ti for $1399"
0,Man. Jake is such a badass. Both Microsoft AND Apple tried to take over his body and he successfully fended them off.
0,Good content ! Woooo
0,Nothing against you but maybe wear a shirt with less dirt on it next time.
0,"If Microsoft swallowed their pride and set Google instead of Bing as their default search engine, lots of people will be using Edge Average user downloads chrome because they don't know how to change search engines"
0,Firefox trolling Microsoft.
0,"16 bits, 32bits, 64bits, 124 bits, wait! No! Its the quick bits next"
0,Daaaaamn jake is thiccc
1,Time stamp says RTS 2060 lol
0,Why does Anthony sounds like a teenage with a cracking voice?
0,"Hey Linus, invest in a lint roller."
0,32 sec notifications squad
0,"Others news, GeForce NOW leak includes Tekken 8, GTA Trilogy, Kingdom of Hearts 4, Halo 5, Gran Tursimo 7, God of War and much more all coming to PC."
0,1.2 k views only in 3 minutes... how??
0,Riley let himself go.
1,"As I'm stuck running a RX570 4gb, I'm pretty much ready to buy anything.. coming out with a 2060 is interesting if you could actually buy one."
0,hi
0,"Edge is pretty cool actually. It does suck that Microsoft is so invasive with it, though."
1,Nvidia is the worst.
0,(Off topic question) has anyone else noticed the translate button under comments?
0,Hello team linus 
1,"If they re-release RTX 2060, it just has to be at a reasonable entry-level price."
0,Hi I missed you TechLinked it has been so long since Friday.
0,831st view and 195th like. lesss gooo!
1,as long as the re-released card cost ~$250-300 USD... but nah...  might as well be a paper launch for a RTX 4050 for $1000.
0,Change into a clean shirt first. Jeez.
1,They should just make more more RTX 3060 rather than going for last gen
1,"Can't wait for them to bring back Gtx 970 9,5gb cards "
1,"Smartie Nvidia Exec: 'So hey we can't make enough of the new stuff, so lets divert resources and make more old stuff, yuayyyyy!'"
0,That Finnigan Speed and Marine shirt. 
0,Why exactly is 'this' comment pinned ??
0,Imma1st 
0,yes
0,ok
0,31st comment nice
0,313th person here!!!!
1,Amazes me that my RTX 3080 will have less VRAM than an RTX 2060.
0,0:02 - Spitting nothing but hard facts here. RIP
0,Taco
0,EARLY BIRDSSSS
0,"oooh new intel cooler designs, sickkkk"
1,Id like an RTX 2060 rerelease.
0,iphone 13
0,Pain
0,not first :(
0,its 2 am lol why am i not sleeping
0,Love tech news
0,It has been 479 days since Talk Linked. Talk Linked when???
1,"Everytime NVIDIA does something slightly wrong, I remember the LTT video about NVIDIA not caring about you"
0, life is pain
0,First! Is that still a thing?
0,bruh im here 1 minute after this video was uploaded and im the 8th viewer wtf how
0,10th
0,Ye
0,44 seconds wow youtube really out did them selvs
0,Frist
0,no views but 3 comments? conspiracy?
0,Driving gloooooooooooooves! Hi TechLinked reader :>
0,First
0,First!!
0,"why does it say 0 views but theres a comment YouTube man, it never makes sense"
0,Hi
0,Yeet
0,no views no comments
0,"I use edge, it's preinstalled and works as well as chrome. Firefox on other devices"
0,The re -release makes alot of sense for people that don't wanna buy used. I'd appreciate they kept the name instead of naming it something weird and confusing like the 16 series which are basically the 1060 and 1070 but a little different.
0,Bruh put on a clean shirt before you go on camera and a bigger one
0,Want suop.
1,Jake still has the battle stains on his shirt from fighting AMD and Intel
0,2:35 Riley sounded like Rich Hall there
0,Wiggle wiggle big guy.
0,Maybe clean up the cheeto stains on the shirt before shooting?
1,"I'm a freelance 3D artist and in 2016 I moved to using GPUs and Redshift for my rendering pipeline so I could render final frames without going bankrupt, because CPU rendering was financially impossible. Also my life is pain."
0,Why didnt he is in that opening Jake sound like hes a Buddhist lol
1,The GPU situation is balls. Im not buying anything. Period.
0,Somebody make this man put on a clean shirt next time. My god.
0,Your t-shirt is dirty.
1,"On the topic of 2060 re-release because 3000-series isn't available: Personaly I'm perfectly happy with a 3070 ti I bought recently. Reviewers and the internet mob might shit on the card but in the European market I was in, it's actually the best (and only viable) choice. And in terms of ""bad performance increase, not worth it"", the card still slays through everything at 1440p ultra.  Point is, it's preferable to buy a 3000 card, even one that online reviewers (who get it for free) try to bury it; as long as in your specific budget situation and market conditions it's a good deal, then you should go for it. Better having a newer card than a re-release older gen imo."
0,"The intro is pain, just like life"
0,"A lot of yall are blinded by past issues, the new chromium edge is so much better with resources than chrome."
0,My favorite part about these videos is the other LMG hosts heckling whoever had the misfortune of hosting this week's show
0,"5:47 ""multi-verse"""
0,Life is strange
0,Isn't access to memory the issue in the first place?
1,"Video idea for you guys!!!  : please see if its possible to get nvidia 3D vision, yes its deprecated, but see if it works on an expensive gsync oled big format gaming display (BFGD), OR just the state of 3D vision in 2021, and look at helixmods 3D fix application, a community actively providing 3D support or fixes for new games!!!"
0,Give him clean T-shirt please.
0,1 TB on a phone.... Wtf!
0,I feel like I'm the only person who actually uses Edge.  It hasn't been a terrible experience for me. Feature parity has been pretty on point with Chrome without all the Google tracking (how much I'm really trading off giving my Data to Microsoft instead I don't really know) But I still feel good not giving everything to the big G without having to work a little harder for it.
0,Apple and Google get (rightfully) criticized for being anticompetitive and preferring their services but no ones bats an eye that Microsoft makes it impossible to switch from Edge
0,"So instead of just telling the companies to keep the prices at a set marker, they re-release an old card in order to combat it........? Just stop."
1,"But nvidia, I DO want that! (title lol) thank you."
0,"I use Edge to read PDF files. Besides that, it's good for installing Chrome and Firefox."
0,If you used edge you'd realize that they already implemented the tab sleep mode like on windows 11 months ago. I think you may have to enable it using edge://flags but it's been there the whole time. Quit trying to use Chrome or Firefox come join us in the 2021 where these issues were resolved back in 2020.
0,at least put on a clean t shirt if you're hosting! smh
0,Will Windows anti-malware sleep too or atleast not use 100% cpu and destroy the battery life of my ultrabook?
1,Dang new 2060 ???? What about the new 3090sti or what its called I heard rumors about it or something
0,Correction: Rectangles are shorter than squares
0,Sporting that Trump hair cut hard.  :p
0,"they say it's a 20T magnet and a normal refrigerator is 100 gauss (10,000G=1T) is a magnet at 20T able to hold to plasma? for how long? next time on dragon ball z!"
0,Is that Jake? Whoever he is (I forgot) he's good at TechLinked news
0,you know what we don't want? that mustache . . . :P
0,me with an rx 550: but i want it
1,oh boy the 2060 is back for the third time
0,But I like edge
0,"i still use mozilla,"
0,Is that Jake or Gabe Newell?
0,android 11 broke my pixel 4 xl so ima wait awhile for a12 to iron out the broken stuff first...
1,Only 12gb of vram? *laughs in 3090*
0,Whats up with the finnegan sport and marine t shirt a future colab ?
0,A gym needs to sponsor Jake
1,"I'm not sure releasing another graphics card will ease the burden on chip fabs.  Further, while I don't think having last gen's card still available is necessarily a bad idea, it makes me wonder how it would compare to a lower-spec 30-series card.  I don't see the point of having two pieces of hardware with neck-in-neck performance, or two cards with barely distinguishable price points.  So, if the 2060 isn't _significantly_ cheaper than a 3060, then I don't see the point in a 2060; and if the 3060 isn't _significantly_ faster than a 2060, I don't see the point in a 3060.  We could probably stand to have fewer SKUs.  2060, 3060, 3070, 3080, 3080Ti, 3090 ... that's too many cards.  Let's pare this down to prices and performance points that make sense, and clear up some space in the manufacturing and retail channels so that they're actually obtainable."
0,"Can someone tell Riley That scripting ""spontaneous"" off screen comments doesn't work."
0,Love this one! 
1,"Perhaps I'm missing something, Why doesn't Nvidia just make more 3060's?"
1,"Considering a 2060 on my country is over 700 i cant even talk about 3000 series , cus of this i went bought a xbox series x and didnt worry about pc anymore till next gen or the gen after"
0,Is he trying to like the Riley in this video or something?????
0,"""Hey Jake... got a clean shirt for the shoot? Naw......"""
1,if they want to re-release a card nvidia could release enmass 1650's because there is nothing in that segment and we are drowning down here
0,"Ive been using edge at my work and school and its actually really good. Better than stock chrome imo.  Like, I can alt tab through tabs instead of all my tabs in chrome showing up as a single window.  Also bing is actually giving me better results than google now too..   Sorry not sorry microsoft has actually done something right here."
0,fresh T-Shirt next time?
0,"I'm all for consumer choice, but as someone that's used every browser ever made, as of this moment (and it's been this way for a long while) Edge is the vastly superior browser. And I say that with zero hyperbole or sarcasm. While I agree the change to altering default apps is rather stupid by Microsoft, Google Chrome is a shadow of it's former self and has been for many years, and Firefox is a buggy, incompatible joke. I have had less problems with Internet Explorer over the years than I have with Firefox. Some of the lesser known browsers like Vivaldi and such showed great promise, but ultimately are unusable in their current states."
0,"Imagine manufacturers using smaller batteries to cut costs because of the better efficiency, so we end up with a shitty battery and get the excuse of ""oh it's so light and costs less"", which in the end just means they cheaped out"
1,i want it for Rs 20000 or less ;) no more tho also 12 gb vram will be good for gpu rendering in blender ;)
0,"While maybe it's more work now, all browsers have had this option. It was inevitable this would get fixed since file type associations are in the Registry. Furthermore, Microsoft gives more precise control over things and you guys whine. They don't, you whine. Apple does the same thing and doesn't let you do any default apps, everyone praises Apple. Apple gets away with things that Microsoft has been sued over, and no one cares or calls them out on it. So we clearly know how the bias is driven I guess."
1,I would really want any rtx card
0,i would love to see him in asmr with amoaura
1,"If they can make the 2060 again to ""fill the gaps"" why can't they just make more of the current ones? Isn't chip supply the main bottleneck? How would this get around that?"
0,"Gee, I never read about an LJA 1700... Or Risen."
1,the re-release RTX 2060 better be below 350$
0,It looks like he doesnt have control of his arms
0,This was another fun one. Thanks.
0,"Is he getter bigger, looks like twice as big as when he started at LTT. Dude less food more tech. Also recommend losing the ped tash."
1,2060 doesn't have enough compute to use 12GB of VRAM.  It's a complete waste.
0,"jake, your hair is messed up. wait, it's by choice...dude, that's worse."
0,Brave doing this with a dirty shirt. =P
0,Forget to wipe your mouth after eating tomato soup there bud?
1,an rtx2060 w more vram than my 2080ti      a sure sign of the end days
0,life is pain when i see your mustache
0,"I actually started using Edge because when they switched to Chromium, it worked the same as chrome and the integration seemed more seemless with windows so I said fuck it"
0,life is pain? Comon guys..
0,what is the infection go nose caterpillars on your staff linus
0,"""Have pain""  Me as a French person: Ok"
0,Lol Riliey in the background
0,I don't get the hate on Edge. It's pretty good and doesn't eat all of my work PC's RAM straight away like Chrome.
1,"Can't wait for the 2060 to re-release, have supply fall under demand due to chip shortage, get scalped, and then subsequently raise prices on every other graphics card. I swear I'll never get an upgrade over my 1660Ti. "
0,+1 for the multiverse joke :D
1,12GB sounds so overkill but then you realise it's an RTX 2060 and isn't even that great
0,"I use Edge. Used pre-Chrome Edge too. It was a great browser. I guess it still is, but less so."
0,"I have had Windows 11 for two months now and the file manager?! is so slow from one tab to another, take a lot of time, same if you ask one application to do something in the meantime, bah back some years it was not better."
0,Anime
1,It was my lifelong dream to be able to buy a 2060 for 1500USD. YAY!  (sarcasm)
0,2:30 then just uninstall Google chrome
0,Windows 11 has terrible performance bug when moving.... explorer windows.
0,Embrace the balding
0,Chrome has got so turd that edge is a serious consideration.
0,3:40 When you have a breakdown over web browsers.
0,"""You know I like them long"""
0,so jake is a finnigan / roadkill fan... NOICE XD
1,"Here before it's still typo'd as ""RTS 2060"" instead of RTX 2060"
0,"Intel should reverse the stock coolers. Who's using a ""stock cooler"" on an i9. Give the cheaper CPUs the ""better"" or RGB cooler."
0,Edge is pretty good. Just sayin'
1,0:29 so 3050 with 6gb when ? Nvidia ?
0,I mean edge is basically the best daily browser now..
0,"Bro please work out, or just diet. No bash, but you become unrecognizable."
0,"heyoooo, jake is a fan of finnegan."
1,"Yeah, Nvidia, i'm going to buy an old video card just because you doubled the memory, lmao."
0,linus gain plenty of weight
0,Colton looks different today
0,S/O to FSM
0,"Use Edge Well, I am currently use Edge, do you know how it annoying google try to poke me to switch to Chrome? Almost every time using google product there is a window pop up trying to force me to do the switch"
0,I knew it Jake is a Nexus being
1,They can release a GTX 1080 and sell them for $600 no problem.
0,The stains on his shirt are... distracting..
0,Is this the fat version riley?
0,I use Microsoft Edge.
0,"Hey Jake, how about a clean shirt next time?"
1,Why sell RTX 3080 and make 50% profit when you can sell RTX 2060 and make 75% profit.
1,"Wouldn't it be better if the re-released RTX 2060 _didn't_ have 12GB VRAM? It's a waste on a chip like that (and we're in a shortage), and with more of the board power going towards powering the VRAM chips, there would be less left over for the core. Meaning lower sustained clock speeds. At least that's usually how it works."
0,You can't just hit me with reality off the bat like that man  You just can't
0,Love the FSM shirt Jake.
1,Ngl RTX 2060 is still better then most of top used graphics cards.
0,"I see that Jake has been following Anthony's diet plan, Well done bud :P"
0,Ram whats that? give me 1/3 of it
0,nothing about Toyota testing it's new solid state batteries?
0,Edge is fine. Way better than Chrome at this point. Had nothing but problems with chrome for the last 5 years.
1,"We're releases the 2060 with 12GB of VRAM, for a low low price of $500!"
0,"The more you buy, the more leather jackets I can have."
1,Rts 2060 in description...
0,I've been using edge it does the job
0,I still wont forgive whoever it was for the flying pig that traumatized me on the ltt minecraft server
0,"I can't really explain why, but I like the Techlinked episodes with Jake the most :3  Also Edge is still better than chrome so I dunno why people are so mad about it. I mean it works pretty much exactly like it anyway sooooo, what's the point in switching to chrome?"
0,"Yea, Jake need to eat less and exercise. Doesn't look healthy.."
0,Is that a Finnegan Speed and Marine shirt???
0,Silliest tech news yet. I still loved it though 
0,"not sure if I should concentrate and listen to TechNews or dance, when watching Jake"
0,"Please stop being so elitist over hardware, you don't need the latest cards and 8gb is all you would every need, 4gb is decent, and one 1gb is minimum (Linux + Some light desktop enviorment)"
0,"I DON'T WANT TO KNOW YOUR NAN, I JUST WANT RAM RAM RAM."
1,"idk how you people can turn this into a bad thing. yes nvidia is going to make more money on them than they should, but you guys make more than you should too so..."
0,"I use Edge, but the Dev version. And Microsoft STILL bullies me to change to the main version."
0,POV: You use Edge :D Its not even that bad for research
0,"Bit off subject, but I can't be the only one who thinks he sounds like Kermit the frog. Much love to you guys, always entertaining."
0,"You only get one body, take care of it my dude."
1,"Rich people be like, I don't want a gpu have right now. Me looking at gt 1030 "
0,So it is like 2660 ?
0,Were there no clean t-shirts hanging around in the office?
0,that mustache makes me question how many kids that guy touched
0,Someone got fat
0,Mozilla tricks windows?   Did it lose the ability to open it and if it's not your default browser a window pops up asking if you want to make it your default browser?
0,I want to feed my Tesla robot a Popsicle... even robots need a break from the existential dread.
0,why does he gain 10Kg every time we see him on camera? that moustache is also horrible
0,who tf needs 1TB on a phone
0,"If morons would stop buying the overpriced cards, I bet the shortages will affect prices a lot less.  Stop screwing everyone else over. The prices wont ever come back down."
0,"I*d argue that Chrome is by far the common use app with _the most_ awareness of what RAM is. And by extent, probably among the apps where user experience could benefit the most from this."
0,Poor Jake is slowly turning into Anthony
1,"Not to be outdone by AMD, Intel are copying the coolers now."
1,"Current gen 3080, 10GB VRAM is more than you would ever need.  Re-releasing last-gen mid-GPU 12GB is a must."
0,Why the cringey tricks
0,Jake funny
1,Imagine re-releasing an almost 3 year old low-to-mid-end card with a price increase and Nvidia must think it's robin hood
0,"I hate edge so much, i even switched to Linux"
0,Keep the weird name callouts for quick bits
1,When your 2060 has more VRAM than your 3080...
1,Ah Yes gonna flex on these 3080 users with the upcoming 2060 relaunch lmao
1,"Nvidia, we don't WANT THIS .. ds no tan wat  ...  to destroy 3 world markets  ...   which went ok without impaling them and their scalpens and industrial miners  and the scammer who wants to sell to sh paci 5 years old pla prices x2  ..  from 200 400 $ but re the price then for msrp brean new with waranti   is $ 250 for a    gtx 1060 medium card !! so wat  .. that in tha real for  si  50 $ max  ... ad it no  on generetio is 2 generetion so  ye ..   so it weil  creat tha revreis iof tha revresi  of tha  refresi  ot tha  generation  of tha a  seim thing  RTX 2060 ..YEA SHURE ..ANT AT WAT PRICE X 3 TIME OT THA MSRP OF THA ORIGINAL PRICE ..YEA  SHURE  .  60 % OF THA ORIGINAL msrp  original   Q1 2019. theat is  210 $  ...  and we can still find it in stores .. on tha planet   ...  na tga gpu ... physical blockage at gpu anti mining  !!!  alll minig use totali blockt  ...    with a gpu  cycle cech of DATA  samthing ...     something that can't be from the bios or the driver ... or anything ...  or the amazon gamez   kils it from  votage modi from ferwer !!  to  brick !!!   and for tha lit coint well ...  not tu sei exep ..bitcneeeeeeeect  ..  11 yas past  ivestigation  has started 2 yea a go an all mort probabli !!!  tha i is on them !!!      this was strike    2   https://youtu.be/yIL9wLxG01M !!  bitcneeeeeeeect  ..  strike one 1  https://youtu.be/64xcgvEJ3Ys  criminals  15 bilion $    not babanas booom .   pam paaaaaam  paaaaaaaaaaaaaaaaaaaam   ..."
1,LTT - the only channel to think GPUs are for gaming. What cunts.   Since pandemic people that need workstations are working from home and want a workstation that can game. Anyone that isn't a canadian closet reject with a mail order wife will tell you that more vram is better as that is where meshes are stored and if say... Blender for example... Runs out it starts to use slower system memory.   Fuckingg rejects.
1,"Does it actually help? The extra vram? Cause I don't think I ever hit a bottleneck of vram on my 1080ti. Both at 1080p and 1440p, vram was the least of my problems."
0,"1TB on an iPhone, imagine all the 4K adult content you can save there."
0,Gotta love the FSM shirt.
0,:o
0,Wow he needs to exercise
0,People that use Edge and say its great are the same people getting screwed by a 5 inch and saying its enough.
0,Nice Finnegan shirt Jake
0,wtf is that on his lip?!
0,Was Jake always +size?
0,What's exactly wrong with using Edge??? 
0,I bet he likes getting more rammed.
0,awesome t-shirt
1,I wouldnt mind a 2060 12gb this 6gb one i have is trash
0,i do...actually
1,"That RTX 2060 relaunch is either a fluke or trolling, there's a GDDR6 Shortage going on, relaunching the 2060 will not help that shortage, let alone doubling it's VRAM"
0,"Dude, I will get android 12 and OneUi just a couple of week later... On my S10e."
0,"I don't know who needs to hear this but stop saving all your money. Invest some of it if you want financial freedom.  Invest in Bitcoin, gold, silver, buy stock, forex market. Anything! Just invest and save yourself."
0,Have y'all always been doing this Attack of the Show style format? Because I'm digging the content just because of the guy yelling in the background 
1,RTX 2060 is about as powerful as a 3050ti would be so Im not too upset about it
1,*NVIDIA Launches 3080Ti* - Everyone: How can you be so selfish? You could make like 2 3080s with each 3080Ti wafer!  *NVIDIA Launches improved 2060 which could provide many gamers the performance they want/can afford and improve gpu stock* - Everyone: ThIS iS OuTrAGeOuS!!! Make 3080Tis and 4080s already instead!
0,Are those theatrics even funny?
0,"First the fusion reactor, next the jump drive, then hyper-pulse generators..."
0,"Crappy Microsoft policies in Win11 aside: use Edge, seriously. It's the best browser right now!"
0,Windows 1 will run better.   right is there ANY evidence for this?  NOPE storing crap in my ram on a gaming system is actally LESS efficient as i need that ram. so it wastes cpu  cycles and causes microstutters just like windows 10 where i disabled over 100 backgroud processes and removed bload to fix it.  it will be a pile of shit just like 10 untill we mod is heavily. same goes for android which gets WORSE every single downgrade.
0,Linux
0,Popsicles!!!!!!
0,Edge isn't that bad.
0,Respect on the Finnegan Speed and Marine shirt!
0,Got my AnDriOd 11 Update few weeks back. wew
0,Finally an intro I can rezonate with.
1,"I want more GTX cards at the moment. Slightly more affordable and a good ""starter card"" for those of us who don't want to pay 2k for an RTX card for the computer we're building."
0,"re: that sarcastic comment regarding crypto prices. Kinda falls short, when that wouldn't be a problem - IF WE ALL JUST USED IT! Also, it's no different from stock prices, or even dollar prices, as you so feel with the shortages right now. Better get used to it! Maybe even get some crypto..."
0,Life is pain
0,"what a gross T-shirt, next time wear a clean one"
1,"I think the 2060 release with higher vram is brilliant. GPU mining enthusiasts will gobble these up and hopefully skip 3060/3070s more often, leaving them for gamers."
1,The RTX 2060 12gb will be good for video editing!
1,i would love a 2060 like that
1,"I have no hope for the 2060 re-release. I bought a 2060 in November 2020 for AUD$450. The same GPU is now selling for AUD$950.  The GPU market is ridiculous, with no end in sight..."
0,Someone is trying to get in a Mike Finnegan video I see...
0,Rule 34 6:00 
0,Shout out to Finnegan speed and marine lol
0,wow he got chubby real fast
